FID,FID_Buildi,osm_id,name,type,startX,startY,endX,endY
2353,56,415889546.000000000000000, ,apartments,-0.342321700000000,39.469042500000000,-0.342333000000000,39.469045700000002
2354,56,415889546.000000000000000, ,apartments,-0.342333000000000,39.469045700000002,-0.342352400000000,39.469006000000000
2355,1,23413845.000000000000000, ,school,-0.340739700000000,39.469453399999999,-0.340716400000000,39.469499499999998
2356,1,23413845.000000000000000, ,school,-0.340716400000000,39.469499499999998,-0.340735400000000,39.469505099999999
2357,1,23413845.000000000000000, ,school,-0.340735400000000,39.469505099999999,-0.340725400000000,39.469525599999997
2358,1,23413845.000000000000000, ,school,-0.340725400000000,39.469525599999997,-0.340881700000000,39.469573699999998
2359,1,23413845.000000000000000, ,school,-0.340881700000000,39.469573699999998,-0.340892400000000,39.469557799999997
2360,1,23413845.000000000000000, ,school,-0.340892400000000,39.469557799999997,-0.340943100000000,39.469574700000003
2361,15,298133506.000000000000000, ,school,-0.340739700000000,39.469453399999999,-0.340716400000000,39.469499499999998
2362,15,298133506.000000000000000, ,school,-0.340716400000000,39.469499499999998,-0.340735400000000,39.469505099999999
2363,15,298133506.000000000000000, ,school,-0.340735400000000,39.469505099999999,-0.340725400000000,39.469525599999997
2364,15,298133506.000000000000000, ,school,-0.340725400000000,39.469525599999997,-0.340881700000000,39.469573699999998
2365,15,298133506.000000000000000, ,school,-0.340881700000000,39.469573699999998,-0.340892400000000,39.469557799999997
2366,15,298133506.000000000000000, ,school,-0.340892400000000,39.469557799999997,-0.340943100000000,39.469574700000003
2367,189,882286563.000000000000000, , ,-0.340562300000000,39.469604500000003,-0.340340800000000,39.469540000000002
2368,189,882286563.000000000000000, , ,-0.340340800000000,39.469540000000002,-0.340431400000000,39.469362900000000
2369,189,882286563.000000000000000, , ,-0.340431400000000,39.469362900000000,-0.340649300000000,39.469426900000002
2370,189,882286563.000000000000000, , ,-0.340649300000000,39.469426900000002,-0.340562300000000,39.469604500000003
2371,15,298133506.000000000000000, ,school,-0.340943100000000,39.469574700000003,-0.340912800000000,39.469638000000003
2372,203,1240815112.000000000000000, ,roof,-0.340943100000000,39.469574700000003,-0.340912800000000,39.469638000000003
2373,52,415889541.000000000000000, ,apartments,-0.343268400000000,39.469360199999997,-0.343264400000000,39.469368600000003
2374,52,415889541.000000000000000, ,apartments,-0.343264400000000,39.469368600000003,-0.343279500000000,39.469372600000000
2375,52,415889541.000000000000000, ,apartments,-0.343279500000000,39.469372600000000,-0.343209200000000,39.469514400000001
2376,52,415889541.000000000000000, ,apartments,-0.343209200000000,39.469514400000001,-0.343195500000000,39.469510499999998
2377,52,415889541.000000000000000, ,apartments,-0.343195500000000,39.469510499999998,-0.343190800000000,39.469520299999999
2378,52,415889541.000000000000000, ,apartments,-0.343190800000000,39.469520299999999,-0.343184500000000,39.469533200000001
2379,52,415889541.000000000000000, ,apartments,-0.343184500000000,39.469533200000001,-0.343198000000000,39.469537000000003
2380,52,415889541.000000000000000, ,apartments,-0.343198000000000,39.469537000000003,-0.343139000000000,39.469656399999998
2381,52,415889541.000000000000000, ,apartments,-0.343139000000000,39.469656399999998,-0.343126500000000,39.469652600000003
2382,52,415889541.000000000000000, ,apartments,-0.343126500000000,39.469652600000003,-0.343120500000000,39.469664500000000
2383,52,415889541.000000000000000, ,apartments,-0.343120500000000,39.469664500000000,-0.342988900000000,39.469627799999998
2384,52,415889541.000000000000000, ,apartments,-0.342988900000000,39.469627799999998,-0.342995400000000,39.469614399999998
2385,52,415889541.000000000000000, ,apartments,-0.342995400000000,39.469614399999998,-0.342981100000000,39.469610299999999
2386,52,415889541.000000000000000, ,apartments,-0.342981100000000,39.469610299999999,-0.343065700000000,39.469437599999999
2387,52,415889541.000000000000000, ,apartments,-0.343065700000000,39.469437599999999,-0.343079500000000,39.469441300000000
2388,52,415889541.000000000000000, ,apartments,-0.343079500000000,39.469441300000000,-0.343093000000000,39.469413500000002
2389,52,415889541.000000000000000, ,apartments,-0.343093000000000,39.469413500000002,-0.343079500000000,39.469409400000004
2390,52,415889541.000000000000000, ,apartments,-0.343079500000000,39.469409400000004,-0.343119100000000,39.469328500000003
2391,52,415889541.000000000000000, ,apartments,-0.343119100000000,39.469328500000003,-0.343132600000000,39.469332100000003
2392,52,415889541.000000000000000, ,apartments,-0.343132600000000,39.469332100000003,-0.343136400000000,39.469324399999998
2393,1,23413845.000000000000000, ,school,-0.340912800000000,39.469638000000003,-0.340857700000000,39.469619799999997
2394,1,23413845.000000000000000, ,school,-0.340857700000000,39.469619799999997,-0.340863700000000,39.469605999999999
2395,1,23413845.000000000000000, ,school,-0.340863700000000,39.469605999999999,-0.340709500000000,39.469558200000002
2396,1,23413845.000000000000000, ,school,-0.340709500000000,39.469558200000002,-0.340636100000000,39.469708300000001
2397,1,23413845.000000000000000, ,school,-0.340636100000000,39.469708300000001,-0.340560900000000,39.469686400000001
2398,1,23413845.000000000000000, ,school,-0.340560900000000,39.469686400000001,-0.340660100000000,39.469483099999998
2399,1,23413845.000000000000000, ,school,-0.340660100000000,39.469483099999998,-0.340678200000000,39.469488400000003
2400,1,23413845.000000000000000, ,school,-0.340678200000000,39.469488400000003,-0.340700800000000,39.469442100000002
2401,1,23413845.000000000000000, ,school,-0.340700800000000,39.469442100000002,-0.340739700000000,39.469453399999999
2402,15,298133506.000000000000000, ,school,-0.340912800000000,39.469638000000003,-0.340857700000000,39.469619799999997
2403,15,298133506.000000000000000, ,school,-0.340857700000000,39.469619799999997,-0.340863700000000,39.469605999999999
